,appid,owners,positive,negative,price,ccu,type,genres,release_date,developers,total_reviews,owners_lower,is_f2p,is_early_access,name
0,899770,"20,000,000 .. 50,000,000",88027,22596,3499,5831,game,"['Action', 'Adventure', 'Indie', 'RPG']",2024-02-21,Eleventh Hour Games,110623,20000000,False,False,Last Epoch
1,251570,"10,000,000 .. 20,000,000",327889,42157,4499,17045,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",2024-07-25,The Fun Pimps,370046,10000000,False,False,7 Days to Die
2,1116170,"10,000,000 .. 20,000,000",266,56,1499,3,game,"['Action', 'Adventure', 'Indie', 'RPG']",2025-04-22,Megame LLC,322,10000000,False,False,CyberCorp
3,1326470,"10,000,000 .. 20,000,000",222495,31051,2999,4450,game,"['Action', 'Adventure', 'Indie', 'Simulation']",2024-02-22,Endnight Games Ltd,253546,10000000,False,False,Sons Of The Forest
4,2186680,"10,000,000 .. 20,000,000",26360,4445,4999,3582,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2023-12-07,Owlcat Games,30805,10000000,False,False,"Warhammer 40,000: Rogue Trader"
5,526870,"10,000,000 .. 20,000,000",225479,6585,3999,12596,game,"['Adventure', 'Indie', 'Simulation', 'Strategy']",2024-09-10,Coffee Stain Studios,232064,10000000,False,False,Satisfactory
6,2881650,"5,000,000 .. 10,000,000",137483,7608,799,722,game,"['Action', 'Adventure', 'Indie']",2024-04-01,"Zorro, Wilnyl, Philip, thePetHen, Skog",145091,5000000,False,False,Content Warning
7,513710,"5,000,000 .. 10,000,000",83704,28411,1799,8535,game,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer']",2025-06-17,Gamepires,112115,5000000,False,False,SCUM
8,1144200,"5,000,000 .. 10,000,000",210654,25542,4999,4296,game,"['Action', 'Adventure', 'Indie']",2023-12-13,VOID Interactive,236196,5000000,False,False,Ready or Not
9,1145350,"2,000,000 .. 5,000,000",60844,3288,2399,1838,game,"['Action', 'Indie', 'RPG']",2025-09-25,Supergiant Games,64132,2000000,False,False,Hades II
10,1260320,"2,000,000 .. 5,000,000",50198,13834,1999,3070,game,"['Action', 'Casual', 'Indie']",2023-09-20,Recreate Games,64032,2000000,False,False,Party Animals
11,2379780,"2,000,000 .. 5,000,000",150524,3042,1499,17123,game,"['Casual', 'Indie', 'Strategy']",2024-02-20,LocalThunk,153566,2000000,False,False,Balatro
12,2567870,"2,000,000 .. 5,000,000",48180,4958,499,1154,game,"['Adventure', 'Casual', 'Indie', 'Simulation']",2024-06-19,Anegar Games,53138,2000000,False,False,Chained Together
13,1943950,"2,000,000 .. 5,000,000",93330,9199,999,1756,game,"['Action', 'Indie']",2025-10-23,"Fancy Games, Blackbird Interactive",102529,2000000,False,False,Escape the Backrooms
14,1942280,"2,000,000 .. 5,000,000",94525,3276,349,6389,game,"['Action', 'Casual', 'Indie', 'RPG']",2023-06-23,Blobfish,97801,2000000,False,False,Brotato
15,1304930,"2,000,000 .. 5,000,000",62533,4423,3999,3743,game,"['Action', 'Adventure', 'Indie']",2024-03-05,Red Barrels,66956,2000000,False,False,The Outlast Trials
16,1468810,"2,000,000 .. 5,000,000",121020,106084,1299,4116,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",2023-05-26,鬼谷工作室,227104,2000000,False,False,鬼谷八荒 Tale of Immortal
