appid,name,owners,positive,negative,price,ccu,type,genres,release_date,developers,total_reviews,owners_lower,is_f2p,is_early_access,owners_low,owners_high,owners_mid,review_total,positive_ratio,negative_ratio,log_review_total,genres_list,genre_action,genre_adventure,genre_rpg,genre_strategy,genre_simulation,genre_casual,genre_free_to_play,genre_early_access,genre_indie,release_date_parsed,days_since_release,release_year,release_month,is_free,price_band,review_band,game_name
899770,Last Epoch,20000000 .. 50000000,88027,22596,34.99,5831,game,"['Action', 'Adventure', 'Indie', 'RPG']",2024-02-21,Eleventh Hour Games,110623,20000000,False,False,20000000,50000000,35000000.0,110623,0.7957386800213337,0.20426131997866628,11.613892342721352,"['Action', 'Adventure', 'Indie', 'RPG']",1,1,1,0,0,0,0,0,1,,,,,0,30~60,10000+,Last Epoch
251570,7 Days to Die,10000000 .. 20000000,327889,42157,44.99,17045,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",2024-07-25,The Fun Pimps,370046,10000000,False,False,10000000,20000000,15000000.0,370046,0.8860763256460008,0.11392367435399924,12.821385303580184,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",1,1,1,1,1,0,0,0,1,,,,,0,30~60,10000+,7 Days to Die
1116170,CyberCorp,10000000 .. 20000000,266,56,14.99,3,game,"['Action', 'Adventure', 'Indie', 'RPG']",2025-04-22,Megame LLC,322,10000000,False,False,10000000,20000000,15000000.0,322,0.8260869565217391,0.17391304347826086,5.777652323222656,"['Action', 'Adventure', 'Indie', 'RPG']",1,1,1,0,0,0,0,0,1,,,,,0,10~20,101~500,CyberCorp
1326470,Sons Of The Forest,10000000 .. 20000000,222495,31051,29.99,4450,game,"['Action', 'Adventure', 'Indie', 'Simulation']",2024-02-22,Endnight Games Ltd,253546,10000000,False,False,10000000,20000000,15000000.0,253546,0.8775330709220418,0.12246692907795824,12.443304489167366,"['Action', 'Adventure', 'Indie', 'Simulation']",1,1,0,0,1,0,0,0,1,,,,,0,20~30,10000+,Sons Of The Forest
2186680,"Warhammer 40,000: Rogue Trader",10000000 .. 20000000,26360,4445,49.99,3582,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2023-12-07,Owlcat Games,30805,10000000,False,False,10000000,20000000,15000000.0,30805,0.855705242655413,0.1442947573445869,10.335464755184402,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",1,1,1,1,0,0,0,0,1,,,,,0,30~60,10000+,"Warhammer 40,000: Rogue Trader"
526870,Satisfactory,10000000 .. 20000000,225479,6585,39.99,12596,game,"['Adventure', 'Indie', 'Simulation', 'Strategy']",2024-09-10,Coffee Stain Studios,232064,10000000,False,False,10000000,20000000,15000000.0,232064,0.9716242071152785,0.028375792884721456,12.354772783821279,"['Adventure', 'Indie', 'Simulation', 'Strategy']",0,1,0,1,1,0,0,0,1,,,,,0,30~60,10000+,Satisfactory
2881650,Content Warning,5000000 .. 10000000,137483,7608,7.99,722,game,"['Action', 'Adventure', 'Indie']",2024-04-01,"Zorro, Wilnyl, Philip, thePetHen, Skog",145091,5000000,False,False,5000000,10000000,7500000.0,145091,0.9475639426291086,0.052436057370891374,11.885123302962247,"['Action', 'Adventure', 'Indie']",1,1,0,0,0,0,0,0,1,,,,,0,5~10,10000+,Content Warning
513710,SCUM,5000000 .. 10000000,83704,28411,17.99,8535,game,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer']",2025-06-17,Gamepires,112115,5000000,False,False,5000000,10000000,7500000.0,112115,0.7465905543415243,0.2534094456584757,11.627289328580956,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer']",1,1,0,0,0,0,0,0,1,,,,,0,10~20,10000+,SCUM
1144200,Ready or Not,5000000 .. 10000000,210654,25542,49.99,4296,game,"['Action', 'Adventure', 'Indie']",2023-12-13,VOID Interactive,236196,5000000,False,False,5000000,10000000,7500000.0,236196,0.8918609967992684,0.1081390032007316,12.372421481563977,"['Action', 'Adventure', 'Indie']",1,1,0,0,0,0,0,0,1,,,,,0,30~60,10000+,Ready or Not
1145350,Hades II,2000000 .. 5000000,60844,3288,23.99,1838,game,"['Action', 'Indie', 'RPG']",2025-09-25,Supergiant Games,64132,2000000,False,False,2000000,5000000,3500000.0,64132,0.9487307428428865,0.05126925715711345,11.068714331026928,"['Action', 'Indie', 'RPG']",1,0,1,0,0,0,0,0,1,,,,,0,20~30,10000+,Hades II
1260320,Party Animals,2000000 .. 5000000,50198,13834,19.99,3070,game,"['Action', 'Casual', 'Indie']",2023-09-20,Recreate Games,64032,2000000,False,False,2000000,5000000,3500000.0,64032,0.7839517741129435,0.21604822588705647,11.067153854452917,"['Action', 'Casual', 'Indie']",1,0,0,0,0,1,0,0,1,,,,,0,10~20,10000+,Party Animals
2379780,Balatro,2000000 .. 5000000,150524,3042,14.99,17123,game,"['Casual', 'Indie', 'Strategy']",2024-02-20,LocalThunk,153566,2000000,False,False,2000000,5000000,3500000.0,153566,0.980190927679304,0.019809072320695988,11.941892232863484,"['Casual', 'Indie', 'Strategy']",0,0,0,1,0,1,0,0,1,,,,,0,10~20,10000+,Balatro
2567870,Chained Together,2000000 .. 5000000,48180,4958,4.99,1154,game,"['Adventure', 'Casual', 'Indie', 'Simulation']",2024-06-19,Anegar Games,53138,2000000,False,False,2000000,5000000,3500000.0,53138,0.9066957732695999,0.09330422673040009,10.880666400920706,"['Adventure', 'Casual', 'Indie', 'Simulation']",0,1,0,0,1,1,0,0,1,,,,,0,0~5,10000+,Chained Together
1943950,Escape the Backrooms,2000000 .. 5000000,93330,9199,9.99,1756,game,"['Action', 'Indie']",2025-10-23,"Fancy Games, Blackbird Interactive",102529,2000000,False,False,2000000,5000000,3500000.0,102529,0.9102790430024676,0.08972095699753241,11.537910717664136,"['Action', 'Indie']",1,0,0,0,0,0,0,0,1,,,,,0,5~10,10000+,Escape the Backrooms
1942280,Brotato,2000000 .. 5000000,94525,3276,3.49,6389,game,"['Action', 'Casual', 'Indie', 'RPG']",2023-06-23,Blobfish,97801,2000000,False,False,2000000,5000000,3500000.0,97801,0.9665034099855829,0.03349659001441703,11.490700305711563,"['Action', 'Casual', 'Indie', 'RPG']",1,0,1,0,0,1,0,0,1,,,,,0,0~5,10000+,Brotato
1304930,The Outlast Trials,2000000 .. 5000000,62533,4423,39.99,3743,game,"['Action', 'Adventure', 'Indie']",2024-03-05,Red Barrels,66956,2000000,False,False,2000000,5000000,3500000.0,66956,0.9339416930521537,0.06605830694784634,11.111805901292295,"['Action', 'Adventure', 'Indie']",1,1,0,0,0,0,0,0,1,,,,,0,30~60,10000+,The Outlast Trials
1468810,鬼谷八荒 Tale of Immortal,2000000 .. 5000000,121020,106084,12.99,4116,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",2023-05-26,鬼谷工作室,227104,2000000,False,False,2000000,5000000,3500000.0,227104,0.5328836127941383,0.4671163872058616,12.333167744584001,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",1,1,1,0,1,0,0,0,1,,,,,0,10~20,10000+,鬼谷八荒 Tale of Immortal
2670630,Supermarket Simulator,2000000 .. 5000000,64104,4237,19.99,2464,game,"['Casual', 'Indie', 'Simulation']",2025-06-19,Nokta Games,68341,2000000,False,False,2000000,5000000,3500000.0,68341,0.9380020778156597,0.0619979221843403,11.132279790678577,"['Casual', 'Indie', 'Simulation']",0,0,0,0,1,1,0,0,1,,,,,0,10~20,10000+,Supermarket Simulator
2835570,Buckshot Roulette,2000000 .. 5000000,91745,3796,2.99,793,game,"['Action', 'Indie', 'Simulation']",2024-04-04,Mike Klubnika,95541,2000000,False,False,2000000,5000000,3500000.0,95541,0.9602683664604724,0.039731633539527536,11.467321220365207,"['Action', 'Indie', 'Simulation']",1,0,0,0,1,0,0,0,1,,,,,0,0~5,10000+,Buckshot Roulette
602960,Barotrauma,2000000 .. 5000000,70694,4640,19.99,2371,game,"['Action', 'Indie', 'Simulation', 'Strategy']",2023-03-13,"FakeFish, Undertow Games",75334,2000000,False,False,2000000,5000000,3500000.0,75334,0.9384076247112857,0.06159237528871426,11.229700113235388,"['Action', 'Indie', 'Simulation', 'Strategy']",1,0,0,1,1,0,0,0,1,,,,,0,10~20,10000+,Barotrauma
2420510,HoloCure - Save the Fans!,1000000 .. 2000000,37623,363,0.0,645,game,"['Action', 'Adventure', 'Casual', 'Indie']",2023-08-16,KayAnimate,37986,1000000,False,False,1000000,2000000,1500000.0,37986,0.9904438477333755,0.009556152266624545,10.54499927491401,"['Action', 'Adventure', 'Casual', 'Indie']",1,1,0,0,0,1,0,0,1,,,,,1,Free,10000+,HoloCure - Save the Fans!
629730,Blade and Sorcery,1000000 .. 2000000,55566,1919,29.99,657,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",2024-06-17,WarpFrog,57485,1000000,False,False,1000000,2000000,1500000.0,57485,0.9666173784465513,0.033382621553448726,10.959296718878928,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",1,1,1,0,1,0,0,0,1,,,,,0,20~30,10000+,Blade and Sorcery
3146520,WEBFISHING,1000000 .. 2000000,64473,1337,4.99,686,game,"['Casual', 'Indie', 'Massively Multiplayer']",2024-10-11,lamedeveloper,65810,1000000,False,False,1000000,2000000,1500000.0,65810,0.9796839386111533,0.02031606138884668,11.094542276593797,"['Casual', 'Indie', 'Massively Multiplayer']",0,0,0,0,0,1,0,0,1,,,,,0,0~5,10000+,WEBFISHING
2527500,MiSide,1000000 .. 2000000,108883,2204,14.99,631,game,"['Adventure', 'Indie', 'RPG', 'Simulation']",2024-12-10,AIHASTO,111087,1000000,False,False,1000000,2000000,1500000.0,111087,0.9801596946537399,0.019840305346260138,11.618077958993055,"['Adventure', 'Indie', 'RPG', 'Simulation']",0,1,1,0,1,0,0,0,1,,,,,0,10~20,10000+,MiSide
